city,lat,lon,temp_max,temp,humidity,cloudiness,wind_speed,country,date
gimli,50.6336,-96.9907,281.16,281.16,71,61,8.23,CA,1635206098
ucluelet,48.9329,-125.5528,284.87,284.7,89,100,1.79,CA,1635206098
shanting,35.0753,117.4578,286.86,286.86,72,89,0.97,CN,1635206099
svetlogorsk,52.6333,29.7333,274.67,274.67,65,88,3.97,BY,1635206099
san borja,-14.8167,-66.85,295.42,295.42,58,43,1.81,BO,1635206100
lavrentiya,65.5833,-171.0,265.59,265.59,75,100,4.25,RU,1635206100
grafton,42.207,-71.6856,286.28,283.11,87,90,0.45,US,1635205905
saint michael,45.21,-93.665,282.46,280.2,61,1,2.57,US,1635206101
matagami,49.7502,-77.6328,276.21,276.21,81,75,2.57,CA,1635206101
trinidad,-14.8333,-64.9,300.14,300.14,61,77,0.0,BO,1635206102
taoudenni,22.6783,-3.9836,303.1,303.1,17,77,4.51,ML,1635205865
brenham,30.1669,-96.3977,302.8,300.68,78,1,0.0,US,1635206103
tomatlan,19.9333,-105.25,297.18,297.18,91,98,1.57,MX,1635206104
misratah,32.3754,15.0925,295.21,295.21,66,0,5.25,LY,1635206105
karratha,-20.7377,116.8463,299.59,299.59,35,10,6.82,AU,1635205955
grenfell,-33.9,148.1667,291.36,291.36,31,0,2.0,AU,1635206105
lazurne,46.084,32.5295,280.63,280.63,57,0,4.12,UA,1635206106
nemuro,43.3236,145.575,282.39,282.39,80,100,4.04,JP,1635206106
morant bay,17.8815,-76.4093,300.94,299.63,80,54,3.38,JM,1635206107
west warwick,41.6969,-71.5219,289.02,285.74,97,100,0.45,US,1635206107
shingu,33.7333,135.9833,290.7,290.7,74,54,2.74,JP,1635206108
saurimo,-9.6608,20.3916,290.59,290.59,94,39,0.92,AO,1635206108
hvolsvollur,63.7533,-20.2243,274.71,274.71,83,100,0.63,IS,1635206109
flinders,-34.5833,150.8552,294.71,293.43,57,7,1.79,AU,1635206109
ventersburg,-28.0856,27.1381,284.82,284.82,87,46,5.48,ZA,1635206109
komsomolskiy,40.4272,71.7189,280.55,280.55,49,4,3.09,UZ,1635206110
bethel,41.3712,-73.414,292.59,287.28,89,90,2.06,US,1635205862
gallup,35.5281,-108.7426,293.72,293.72,26,0,1.79,US,1635206110
bealanana,-14.55,48.7333,288.55,288.55,92,72,1.78,MG,1635206111
frontera,26.9333,-101.45,303.33,303.33,47,34,1.79,MX,1635206111
vao,-22.6667,167.4833,295.49,295.49,71,35,6.46,NC,1635206111
gardendale,33.6601,-86.8128,293.77,292.34,91,40,3.69,US,1635206112
nantucket,41.2835,-70.0995,292.09,290.62,89,100,6.99,US,1635206112
washougal,45.5826,-122.3534,285.76,284.25,91,90,1.79,US,1635206113
pangkalanbuun,-2.6833,111.6167,299.06,299.06,89,81,0.14,ID,1635206113
arawa,-6.2132,155.5367,304.77,304.77,60,33,1.55,PG,1635206113
lieksa,63.3167,30.0167,279.1,279.1,97,100,4.84,FI,1635206114
mwense,-10.3845,28.698,292.99,292.99,81,98,1.34,ZM,1635206114
hearst,49.6835,-83.6665,275.29,275.29,84,96,1.91,CA,1635206115
porto novo,6.4965,2.6036,300.05,300.05,89,99,2.32,BJ,1635206115
minudasht,37.2289,55.3747,286.3,286.3,79,1,1.22,IR,1635206116
babra,21.85,71.3,298.49,298.49,42,86,3.25,IN,1635206116
teya,60.3778,92.6267,269.74,269.74,86,97,2.43,RU,1635206073
sacramento,38.4666,-121.3177,292.12,290.53,60,1,3.13,US,1635205912
tura,25.5198,90.2201,291.54,291.54,93,0,1.16,IN,1635206117
amberley,39.2048,-84.428,285.21,284.32,91,90,0.89,US,1635206117
deputatskiy,69.3,139.9,254.55,254.55,98,99,0.86,RU,1635206118
carmen,18.6333,-91.8333,301.51,301.51,78,51,3.78,MX,1635206118
kambove,-10.8764,26.5969,289.77,289.77,85,99,1.0,CD,1635206119
luancheng,37.8792,114.6517,282.24,282.24,55,100,0.97,CN,1635206119
lodwar,3.1191,35.5973,300.67,300.67,56,72,7.74,KE,1635206120
beboto,8.2668,16.939,296.96,296.96,80,52,1.78,TD,1635206120
acari,-15.4311,-74.6158,292.68,292.68,69,25,1.97,PE,1635206121
saint-pierre,-21.3393,55.4781,294.95,294.05,78,0,2.06,RE,1635206121
ararangua,-28.9347,-49.4858,293.07,293.07,84,0,0.65,BR,1635206121
cherlak,54.155,74.8055,281.1,281.1,57,100,3.95,RU,1635206122
shahabad,27.65,79.95,292.69,292.69,74,0,2.75,IN,1635206122
bowen,-20.0167,148.2333,301.27,301.27,66,98,5.02,AU,1635206123
barranco,9.5167,-82.7,302.01,302.01,88,62,0.65,PA,1635206123
baghdad,33.3406,44.4009,289.1,289.1,48,0,1.03,IQ,1635205899
mnogovershinnyy,53.9353,139.9242,276.39,276.39,76,44,1.75,RU,1635206124
abonnema,4.7084,6.7931,297.84,297.84,91,99,1.8,NG,1635206124
gadsden,34.0143,-86.0066,294.16,292.61,85,46,3.09,US,1635206125
